CountryID,Country,Latitude,Longitude,SubregionID
1,Argentina,-38.416097,-63.616672,1
2,Brazil,-14.235004,-51.92528,1
3,Chile,-35.675147,-71.542969,1
4,Colombia,4.570868,-74.297333,1
5,Costa Rica,9.748917,-83.753428,1
6,Mexico,23.634501,-102.552784,1
7,Canada,56.130366,-106.346771,2
8,United States,37.09024,-95.712891,2
9,Australia,-25.274398,133.775136,3
10,New Zealand,-40.900557,174.885971,3
11,China,35.86166,104.195397,4
12,Indonesia,-0.789275,113.921327,4
13,Philippines,12.879721,121.774017,4
14,Singapore,1.352083,103.819836,4
15,South Korea,35.907757,127.766922,4
16,Taiwan,23.69781,120.960515,4
17,India,20.593684,78.96288,5
18,Japan,36.204824,138.252924,6
19,Italy,41.87194,12.56738,7
20,Czech Republic,49.817492,15.472962,8
21,Greece,39.074208,21.824312,8
22,Israel,31.046051,34.851612,8
23,Russia,61.52401,105.318756,8
24,Ukraine,48.379433,31.16558,8
25,Austria,47.516231,14.550072,9
26,Belgium,50.503887,4.469936,9
27,Croatia,45.1,15.2,9
28,Denmark,56.26392,9.501785,9
29,France,46.227638,2.213749,9
30,Germany,51.165691,10.451526,9
31,Iceland,64.963051,-19.020835,9
32,Luxembourg,49.815273,6.129583,9
33,Netherlands,52.132633,5.291266,9
34,Poland,51.919438,19.145136,9
35,Portugal,39.399872,-8.224454,9
36,Slovenia,46.151241,14.995463,9
37,Spain,40.463667,-3.74922,9
38,Egypt,26.820553,30.802498,10
39,Qatar,25.354826,51.183884,10
40,Saudi Arabia,23.885942,45.079162,10
41,South Africa,-30.559482,22.937506,10
42,Turkey,38.963745,35.243322,10
43,United Arab Emirates,23.424076,53.847818,10
44,Finland,61.92411,25.748151,11
45,Norway,60.472024,8.468946,11
46,Sweden,60.128161,18.643501,11
47,Ireland,53.7797554,-7.3055309,12
48,United Kingdom,55.378051,-3.435973,12
